symbol|exchange|name|last|yearHigh|dayHigh|volume|yearLow|dayLow|pctChangeYTD
-BA- -New York- -Boeing Co/The- -243.63- -243.95- -243.95- 4905396.0 -174.62- -237.32- -27.90-
-GS- -New York- -Goldman Sachs Group Inc/The- -351.58- -379.68- -352.29- 1158396.0 -289.36- -343.78- -2.39-
-WBA- -NASDAQ GS- -Walgreens Boots Alliance Inc- -23.36- -42.29- -23.42- 12586322 -19.68- -22.72- ---38.80-
-INTC- -NASDAQ GS- -Intel Corp- -42.78- -45.34- -42.95- 21384411 -24.73- -41.81- -61.88-
-CVX- -New York- -Chevron Corp- -144.29- -187.81- -144.67- 7681343.0 -140.72- -143.12- ---19.61-
-NKE- -New York- -NIKE Inc- -116.17- -131.31- -116.29- 4138603.0 -88.66- -114.47- ---0.71-
-JPM- -New York- -JPMorgan Chase & Co- -158.57- -159.38- -158.59- 4093661.0 -123.11- -156.98- -18.25-
-CRM- -New York- -Salesforce Inc- -251.33- -263.43- -252.09- 2855406.0 -126.34- -248.00- -89.92-
-IBM- -New York- -International Business Machines Corp- -161.69- -162.79- -161.86- 2124940.0 -120.55- -160.00- -14.76-
-AAPL- -NASDAQ GS- -Apple Inc- -195.66- -198.23- -195.98- 36064301 -124.17- -193.67- -50.58-
